6635????          xor ax,0x????
34??              xor al,0x??
35????????        xor eax,0x????????
3235????????      xor dh,[dword 0x????????]
3335????????      xor esi,[dword 0x????????]

6A??              push byte +0x??
6668????          push word 0x????
68????????        push dword 0x????????

41                inc ecx
42                inc edx
43                inc ebx
44                inc esp
45                inc ebp
46                inc esi
47                inc edi
48                dec eax
49                dec ecx
4A                dec edx
4B                dec ebx
4C                dec esp
4D                dec ebp
4E                dec esi
4F                dec edi
50                push eax
51                push ecx
52                push edx
53                push ebx
54                push esp
55                push ebp
56                push esi
57                push edi
58                pop eax
59                pop ecx
5A                pop edx
61                popad

3151??            xor [ecx+0x??],edx
3156??            xor [esi+0x??],edx

70??              jo 0x??
71??              jno 0x??
72??              jc 0x??
73??              jnc 0x??
74??              jz 0x??
75??              jnz 0x??
76??              jna 0x??
77??              ja 0x??
78??              js 0x??
79??              jns 0x??
7A??              jpe 0x??

6641              inc cx
6642              inc dx
6643              inc bx
6644              inc sp
6645              inc bp
6646              inc si
6647              inc di
6648              dec ax
6649              dec cx
664A              dec dx
664B              dec bx
664C              dec sp
664D              dec bp
664E              dec si
664F              dec di
6650              push ax
6651              push cx
6652              push dx
6653              push bx
6654              push sp
6655              push bp
6656              push si
6657              push di
6658              pop ax
6659              pop cx
665A              pop dx
6661              popaw
6666??            xchg ax,ax
6667??            xchg ax,ax

2B2B              sub ebp,[ebx]
2B2F              sub ebp,[edi]
2B30              sub esi,[eax]
2B31              sub esi,[ecx]
2B32              sub esi,[edx]
2B33              sub esi,[ebx]
2B34??            sub esi,[eax+edx*4]
2B35????????      sub esi,[dword 0x????????] - Absolute address
2B36              sub esi,[esi]
2B37              sub esi,[edi]
2B38              sub edi,[eax]
2B39              sub edi,[ecx]
2B41??            sub eax,[ecx+0x??]
2B42??            sub eax,[edx+0x??]
2B43??            sub eax,[ebx+0x??]
2B44????          sub eax,[eax+edx*4+0x??]
2B45??            sub eax,[ebp+0x??]
2B46??            sub eax,[esi+0x??]
2B47??            sub eax,[edi+0x??]
2B48??            sub ecx,[eax+0x??]
2B49??            sub ecx,[ecx+0x??]
2B4A??            sub ecx,[edx+0x??]
2B4B??            sub ecx,[ebx+0x??]
2B4C????          sub ecx,[eax+edx*4+0x??]
2B4D??            sub ecx,[ebp+0x??]
2B4E??            sub ecx,[esi+0x??]
2B4F??            sub ecx,[edi+0x??]
2B50??            sub edx,[eax+0x??]
2B51??            sub edx,[ecx+0x??]
2B52??            sub edx,[edx+0x??]
2B53??            sub edx,[ebx+0x??]
2B54????          sub edx,[eax+edx*4+0x??]
2B55??            sub edx,[ebp+0x??]
2B56??            sub edx,[esi+0x??]
2B57??            sub edx,[edi+0x??]
2B58??            sub ebx,[eax+0x??]
2B59??            sub ebx,[ecx+0x??]
2B5A??            sub ebx,[edx+0x??]
2B61??            sub esp,[ecx+0x??]
2B62??            sub esp,[edx+0x??]
2B63??            sub esp,[ebx+0x??]
2B64????          sub esp,[eax+edx*4+0x??]
2B65??            sub esp,[ebp+0x??]
2B66??            sub esp,[esi+0x??]
2B67??            sub esp,[edi+0x??]
2B68??            sub ebp,[eax+0x??]
2B69??            sub ebp,[ecx+0x??]
2B6A??            sub ebp,[edx+0x??]
2B6B??            sub ebp,[ebx+0x??]
2B6C????          sub ebp,[eax+edx*4+0x??]
2B6D??            sub ebp,[ebp+0x??]
2B6E??            sub ebp,[esi+0x??]
2B6F??            sub ebp,[edi+0x??]
2B70??            sub esi,[eax+0x??]
2B71??            sub esi,[ecx+0x??]
2B72??            sub esi,[edx+0x??]
2B73??            sub esi,[ebx+0x??]
2B74????          sub esi,[eax+edx*4+0x??]
2B75??            sub esi,[ebp+0x??]
2B76??            sub esi,[esi+0x??]
2B77??            sub esi,[edi+0x??]
2B78??            sub edi,[eax+0x??]
2B79??            sub edi,[ecx+0x??]
2B7A??            sub edi,[edx+0x??]
2B??????????      sub edx,[eax+0x????????]
302B              xor [ebx],ch
302F              xor [edi],ch
3030              xor [eax],dh
3031              xor [ecx],dh
3032              xor [edx],dh
3033              xor [ebx],dh
3034??            xor [eax+edx*4],dh
3036              xor [esi],dh
3037              xor [edi],dh
3038              xor [eax],bh
3039              xor [ecx],bh
3041??            xor [ecx+0x??],al
3042??            xor [edx+0x??],al
3043??            xor [ebx+0x??],al
3044????          xor [eax+edx*4+0x??],al
3045??            xor [ebp+0x??],al
3046??            xor [esi+0x??],al
3047??            xor [edi+0x??],al
3048??            xor [eax+0x??],cl
3049??            xor [ecx+0x??],cl
304A??            xor [edx+0x??],cl
304B??            xor [ebx+0x??],cl
304C????          xor [eax+edx*4+0x??],cl
304D??            xor [ebp+0x??],cl
304E??            xor [esi+0x??],cl
304F??            xor [edi+0x??],cl
3050??            xor [eax+0x??],dl
3051??            xor [ecx+0x??],dl
3052??            xor [edx+0x??],dl
3053??            xor [ebx+0x??],dl
3054????          xor [eax+edx*4+0x??],dl
3055??            xor [ebp+0x??],dl
